"代码","名称","最新价","涨跌额","涨跌幅","市值","成交量","成交额","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅","市盈率(静)","换手率","涨跌速率","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今","所属行业"
"DC","Dakota Gold","6.110","+0.030","+0.49%","819796975.01","4877234","29751305.00","6.010","6.100","800","2000","6.100","6.080","6.170","6.010","4.42","-42.86%","2.63%","亏损","3.93%","-0.17%","+0.33%","+5.16%","-0.16%","-0.97%","+49.39%","+33.99%","+28.09%","+7.57%","黄金"
"AGCC","Agencia Comercial Spirits","13.160","+0.620","+4.94%","819690340.00","24986","332565.00","5.270","13.960","200","100","13.150","12.540","13.800","12.900","0.54","33.33%","7.18%","346.315","0.10%","-4.88%","+0.08%","-3.94%","-9.80%","-8.10%","-12.50%","-14.21%","+229.00%","+34.84%","酿酒厂"
"CRTO","Criteo","16.700","-0.200","-1.18%","818259235.30","338654","5660777.00","16.190","19.990","100","1900","16.970","16.900","16.970","16.570","1.66","-90.00%","2.37%","6.325","0.71%","-0.18%","+0.15%","-4.24%","-8.09%","-4.49%","-7.84%","-2.79%","-23.81%","-18.97%","广告代理"
"BLSM","BlossomHill Therapeutics","25.740","-1.080","-4.03%","818143557.66","715112","18475257.00","18.270","27.480","1500","4000","26.800","26.820","27.550","25.405","3.19","-45.45%","8.00%","亏损","7.63%","-0.31%","+0.43%","+23.39%","+28.57%","+62.91%","+60.88%","+60.88%","+60.88%","+60.88%","生物技术"
"OBE","Obsidian Energy","12.260","+0.130","+1.07%","818055488.20","716430","8745233.00","12.300","12.500","100","200","12.210","12.130","12.340","12.000","0.56","-33.33%","2.80%","35.028","1.21%","-0.08%","+0.04%","-5.47%","+1.91%","+1.24%","+52.87%","+32.68%","+97.74%","+100.00%","油气勘探与开发"
"DQ","大全新能源","12.070","+0.140","+1.17%","816730261.52","1116856","13543672.00","11.800","12.850","100","100","12.080","11.930","12.200","11.930","1.52","0.00%","2.26%","亏损","2.57%","0.25%","-0.25%","+4.59%","-3.90%","-19.43%","-9.79%","-43.12%","-55.66%","-59.08%","半导体设备与材料"
"NRGV","Energy Vault","4.490","+0.260","+6.15%","816459669.30","13961791","62239673.00","4.380","4.450","100","100","4.330","4.230","4.540","4.160","4.20","0.00%","8.98%","亏损","9.48%","0.48%","-0.88%","+4.18%","+18.47%","+20.05%","+14.25%","+27.56%","+44.37%","-2.60%","可再生能源公用事业"
"ALRS","Alerus Financial","32.750","-0.030","-0.09%","816376476.50","508295","16607690.00","13.030","32.750","200","100","32.530","32.780","32.890","32.160","3.52","33.33%","2.23%","48.161","2.22%","0.06%","+0.12%","-1.56%","-1.86%","+0.49%","+7.77%","+39.95%","+46.60%","+47.76%","地区银行"
"EVER","EverQuote","23.140","+0.250","+1.09%","815447838.14","766339","17676492.00","21.600","24.110","100","100","22.560","22.890","23.430","22.380","1.27","0.00%","4.59%","8.798","2.81%","0.17%","-1.22%","-3.50%","-8.57%","-7.11%","+7.28%","+52.34%","-9.25%","-14.30%","互联网内容与信息"
"BLZE","Backblaze","13.160","-0.630","-4.57%","814604000.00","2174135","28630228.00","13.130","13.330","1500","1500","13.730","13.790","13.780","12.870","1.44","0.00%","6.60%","亏损","3.66%","0.27%","-0.38%","+6.13%","-1.13%","-18.97%","+9.94%","+287.06%","+31.73%","+182.40%","软件基础设施"
"SIBN","Si-Bone","18.090","+0.050","+0.28%","810768021.75","861414","15590360.00","15.600","20.040","100","500","17.870","18.040","18.410","17.820","1.67","-66.67%","3.27%","亏损","2.15%","-0.14%","+0.33%","-1.58%","-2.95%","-7.14%","+10.71%","+47.19%","+23.90%","-8.27%","医疗设备"
"ACRS","Aclaris Therapeutics","5.500","+0.100","+1.85%","809593911.50","4688000","25707326.00","5.360","5.510","100","300","5.410","5.400","5.535","5.360","1.17","-50.00%","3.24%","亏损","4.27%","-0.27%","-0.09%","+3.38%","-7.56%","-13.11%","+14.82%","+56.25%","+187.96%","+82.72%","生物技术"
"ETRA","ELECTRA THERAPEUTICS INC","13.250","-1.750","-11.67%","809578816.00","5124319","74569988.00","13.650","13.700","100","400","15.000","15.000","15.500","13.250","0.00","-60.00%","15.00%","亏损","16.08%","-2.47%","-2.00%","-11.67%","-11.67%","-11.67%","-11.67%","-11.67%","-11.67%","-11.67%","生物技术"
"TXO","TXO Partners","14.580","-0.060","-0.41%","808408614.06","232719","3401313.00","14.510","15.110","700","700","14.760","14.640","14.880","14.530","1.53","0.00%","2.39%","亏损","0.59%","-0.65%","-0.27%","-5.57%","-2.74%","+3.70%","+21.58%","+17.44%","+16.49%","+48.14%","油气勘探与开发"
"CLYM","Climb Bio","14.050","-0.010","-0.07%","806979382.75","4049711","57048405.00","14.170","14.500","100","2000","14.150","14.060","14.440","13.920","2.52","-90.48%","3.70%","亏损","9.73%","0.21%","+0.04%","-1.40%","-3.70%","-17.45%","+10.20%","+100.14%","+508.23%","+251.25%","生物技术"
"RPD","Rapid7","11.970","-0.440","-3.55%","806785660.80","5541628","66346074.00","11.980","12.020","1000","4000","12.620","12.410","12.730","11.760","2.38","-60.00%","7.82%","33.250","9.35%","0.17%","+0.42%","+16.10%","+4.36%","+1.06%","+69.07%","+127.13%","-41.01%","-21.25%","软件基础设施"
"INR","Infinity Natural Resources","12.720","-0.210","-1.62%","806731121.76","698897","8903667.00","12.600","14.480","500","100","12.930","12.930","12.990","12.630","1.67","66.67%","2.78%","3.658","4.62%","0.00%","-0.55%","-14.75%","-19.14%","-13.29%","-1.24%","-33.85%","-1.24%","-13.65%","油气勘探与开发"
"KPLT","Katapult","9.500","+0.310","+3.37%","806066022.50","1031887","9735673.00","9.230","9.500","100","100","9.150","9.190","9.500","8.960","4.24","0.00%","5.88%","亏损","22.20%","-0.77%","+3.26%","+0.74%","+39.71%","+64.08%","+45.04%","+33.43%","-51.43%","+47.06%","软件基础设施"
"MTW","马尼托沃克","22.350","+0.500","+2.29%","805985007.15","783095","17384342.00","15.200","24.700","100","100","21.750","21.850","22.380","21.470","1.56","0.00%","4.16%","111.750","2.35%","-0.22%","+0.22%","+7.56%","+9.29%","+17.08%","+65.92%","+92.51%","+123.95%","+86.41%","农业和重型机械"
"SXC","SunCoke Energy","9.490","-0.170","-1.76%","805462326.50","2149467","20341340.00","9.100","10.460","100","100","9.640","9.660","9.640","9.260","2.41","0.00%","3.93%","亏损","2.56%","0.21%","+0.64%","-5.29%","-6.87%","+0.96%","+17.95%","+47.01%","+27.39%","+37.64%","焦炭"
"TRNS","Transcat","86.000","+0.720","+0.84%","804943918.00","123767","10518872.00","34.470","100.000","100","200","84.590","85.280","86.020","82.740","1.10","-33.33%","3.85%","150.877","1.36%","0.88%","+0.09%","+2.00%","+0.36%","-6.02%","-4.05%","+20.58%","+13.98%","+51.60%","专业商务服务"
"LINC","林肯教育服务","25.370","-0.030","-0.12%","804773922.23","702734","17816931.00","24.500","26.250","100","400","25.170","25.400","25.640","24.900","1.00","-60.00%","2.91%","39.640","2.53%","0.37%","+0.12%","+1.40%","-0.43%","-3.02%","-46.98%","-37.99%","+20.92%","+5.05%","教育培训"
"IBCP","独立银行","36.230","+0.010","+0.03%","804280457.85","414104","14982745.00","20.130","57.920","200","200","36.020","36.220","36.370","35.790","2.09","0.00%","1.60%","11.079","1.92%","0.19%","-0.18%","-2.27%","-2.11%","-2.76%","+2.54%","+13.55%","+19.32%","+14.01%","地区银行"
"APEI","美国公共教育","43.880","-0.440","-0.99%","803071706.84","465771","20461298.00","17.620","62.620","200","100","44.100","44.320","44.470","43.280","1.79","33.33%","2.69%","32.264","3.12%","-0.18%","-0.31%","-2.36%","-3.31%","-1.14%","-15.83%","-23.34%","+22.16%","+16.08%","教育培训"
"PGC","皮帕克格拉德斯通金融","45.280","-0.130","-0.29%","802721666.56","298655","13507074.00","37.900","50.000","100","700","45.070","45.410","45.590","44.740","2.45","-75.00%","1.87%","21.561","1.93%","0.11%","-0.46%","-1.14%","-1.44%","+0.24%","-2.05%","+30.74%","+56.70%","+63.19%","地区银行"
"ANNX","Annexon","4.230","+0.060","+1.44%","801919736.82","4940247","20888414.00","4.230","4.590","100","200","4.160","4.170","4.310","4.130","1.42","-33.33%","4.32%","亏损","3.02%","0.12%","-0.24%","+7.36%","-12.60%","-18.34%","-20.19%","-15.40%","+47.90%","-15.74%","生物技术"
"FISI","金融机构","40.640","-0.080","-0.20%","800866470.40","412120","16726125.00","16.420","64.960","100","200","40.430","40.720","40.780","40.010","2.80","-33.33%","1.89%","11.257","2.38%","0.09%","+0.05%","+0.10%","-0.54%","+0.42%","+5.92%","+33.72%","+56.04%","+33.94%","地区银行"
"ADAM","Adamas Trust Inc","8.910","-0.095","-1.05%","800828893.26","3243116","28882230.00","8.950","9.000","500","1000","8.950","9.005","9.097","8.835","3.33","-33.33%","2.91%","8.100","3.85%","0.17%","+0.28%","-1.98%","-8.14%","-10.27%","-4.40%","+31.06%","+36.79%","+29.99%","抵押贷款REITs"
"GYRE","Gyre Therapeutics","7.550","+0.370","+5.15%","800554910.65","1203860","9013123.00","7.550","7.580","700","2800","7.120","7.180","7.560","7.100","11.10","-60.00%","6.41%","377.500","3.35%","1.07%","0.00%","+12.18%","+17.24%","+7.55%","+16.51%","+11.36%","+4.14%","+6.94%","生物技术"
"PUBM","Pubmatic","17.550","+0.220","+1.27%","799403570.55","1151270","20094662.00","16.000","18.250","100","100","17.510","17.330","17.665","17.090","1.72","0.00%","3.32%","亏损","3.44%","-0.46%","+0.86%","+6.43%","+3.48%","+7.08%","+47.23%","+114.29%","+103.36%","+97.86%","应用软件"
"ABR","阿伯房地产信托","4.280","-0.200","-4.46%","798468424.04","11559302","49583812.00","4.300","4.360","200","100","4.450","4.480","4.450","4.240","2.60","33.33%","4.69%","7.642","6.49%","-0.12%","+0.12%","-9.32%","-17.53%","-17.37%","-13.11%","-38.04%","-58.87%","-39.17%","抵押贷款REITs"
"SMBC","Southern Missouri Bancorp","72.490","+0.100","+0.14%","798352594.71","202805","14673573.00","29.100","115.520","100","200","72.010","72.390","72.665","71.690","2.32","-33.33%","1.35%","11.273","2.18%","-0.25%","+0.11%","-1.05%","-1.25%","-2.12%","-2.24%","+16.94%","+31.56%","+23.98%","地区银行"
"QVCG","QVC Group","15.920","-0.050","-0.31%","795998360.24","3553344","56532346.00","15.390","19.000","300","1000","16.120","15.970","16.425","15.320","12.61","-53.85%","6.92%","-","22.80%","2.09%","+1.50%","-5.52%","-2.99%","+0.76%","-18.32%","-18.32%","-18.32%","-18.32%","专业零售"
"AVR","安特瑞斯科技","8.160","-0.260","-3.09%","795261147.84","1809058","14798421.00","8.100","8.320","100","2000","8.400","8.420","8.570","8.120","2.84","-90.48%","5.34%","亏损","2.74%","0.12%","-0.61%","-2.28%","-6.42%","-11.78%","-21.54%","+57.23%","+55.73%","+63.53%","医疗设备"
"BBSI","Barrett Business Services","32.800","-0.480","-1.44%","794913904.00","255827","8389898.00","25.920","41.870","200","200","32.850","33.280","32.930","32.460","1.70","0.00%","1.41%","15.769","1.10%","-0.05%","+0.17%","-1.65%","-3.04%","-1.06%","-3.86%","+12.28%","-28.16%","-8.69%","人力资源与就业服务"
"LXU","LSB Industries","11.040","-0.230","-2.04%","794852444.16","1792507","19805789.00","9.480","12.000","200","100","11.280","11.270","11.280","10.930","1.66","33.33%","3.10%","32.470","3.04%","-0.14%","-0.27%","-4.66%","-1.69%","+3.27%","+3.08%","-32.27%","+33.98%","+29.88%","化学制品"
"MTUS","Metallus","19.110","-0.280","-1.44%","792095817.24","695727","13274382.00","0.000","21.210","0","400","19.280","19.390","19.280","18.740","2.61","-100.00%","2.78%","亏损","1.93%","0.00%","-0.23%","-0.68%","-0.26%","-2.40%","-2.35%","+19.21%","+16.45%","+11.36%","钢"
"PRAA","PRA Group","21.000","+0.430","+2.09%","790608126.00","858556","17989755.00","8.430","21.160","200","100","20.380","20.570","21.210","19.800","1.70","33.33%","6.85%","亏损","2.61%","-0.33%","-0.19%","+10.94%","+10.58%","+12.72%","+16.67%","+24.63%","+26.66%","+18.71%","信贷"
"DSP","Viant Technology","11.880","+1.860","+18.56%","789721075.44","2599048","30575209.00","11.900","12.340","700","200","11.530","10.020","12.410","11.220","4.06","55.56%","11.88%","33.000","12.86%","-0.63%","-1.21%","-5.56%","-11.64%","-4.27%","+6.64%","+10.51%","+30.69%","-1.33%","应用软件"
"FOXF","Fox Factory","18.770","-0.610","-3.15%","788921888.77","763137","14390240.00","18.500","23.000","100","900","19.350","19.380","19.515","18.690","1.87","-80.00%","4.26%","亏损","1.83%","0.40%","-0.16%","-5.35%","-9.59%","-12.00%","+1.40%","+11.33%","-27.19%","+9.70%","汽车零件"
"JBSS","John B. Sanfilippo & Son","67.310","-0.160","-0.24%","787088206.11","235000","15830831.00","60.000","75.000","100","100","67.300","67.470","67.940","66.750","1.88","0.00%","1.76%","12.796","2.63%","0.36%","-0.21%","-4.20%","-8.02%","-11.15%","-18.25%","-9.54%","+12.53%","-0.59%","包装食品"
"LWLG","Lightwave Logic","5.100","+0.080","+1.59%","786253000.50","3867270","19590724.00","5.000","5.100","20000","600","5.050","5.020","5.110","4.945","1.58","94.17%","3.29%","亏损","2.55%","-0.29%","+1.19%","-2.49%","-0.39%","-16.39%","-39.21%","-29.51%","+21.72%","+57.41%","特殊化工用品"
"SATL","Satellogic","5.110","-0.400","-7.26%","785610945.21","13997032","71603300.00","5.110","5.150","300","800","5.485","5.510","5.520","4.995","3.11","-45.45%","9.53%","亏损","11.23%","-0.10%","-0.10%","+6.68%","+10.37%","-3.58%","+1.39%","-13.83%","+39.62%","+173.26%","航空航天与国防"
"CGBD","Carlyle Secured Lending","11.410","-0.220","-1.89%","785060269.21","602567","6880067.00","11.110","11.760","100","100","11.620","11.630","11.660","11.360","1.88","0.00%","2.58%","11.297","0.88%","-0.04%","-0.09%","+0.35%","-1.38%","+0.71%","+11.75%","+11.42%","-3.68%","-2.14%","资产管理"
"MHLA","MAIDEN HOLDINGS LTD 6.625% NTS 14/06/46 USD25","9.460","0.000","0.00%","784781686.70","509","4824.00","0.000","12.000","0","200","9.460","9.460","9.460","9.460","0.87","-100.00%","0.00%","-","0.00%","0.00%","0.00%","-1.46%","-5.02%","-7.16%","-7.07%","-4.67%","-27.81%","-19.04%","-"
"DGICB","多尼戈尔股份-B","21.050","+0.150","+0.72%","781360886.10","10561","222860.00","9.920","33.950","100","200","20.760","20.900","21.500","20.730","11.15","-33.33%","3.68%","10.472","0.06%","0.24%","+0.24%","-15.77%","-14.26%","-9.66%","+4.38%","+23.21%","+22.13%","+22.25%","财产和意外伤害保险"
"GSM","Ferroglobe","4.180","-0.080","-1.88%","781076961.06","1815610","7602532.00","3.800","4.360","100","600","4.270","4.260","4.280","4.140","1.61","-71.43%","3.29%","亏损","1.06%","-0.12%","-0.83%","-2.34%","-7.73%","+8.57%","+16.76%","-2.42%","+1.19%","-9.20%","其他工业金属与采矿"
"VREX","Varex Imaging","18.490","-0.050","-0.27%","779321253.44","834416","15434009.00","18.480","20.000","100","100","18.510","18.540","18.530","18.480","1.05","0.00%","0.27%","亏损","2.01%","-0.08%","-0.05%","+0.16%","-0.16%","0.00%","+78.30%","+72.32%","+50.57%","+58.71%","医疗设备"
"FINV","信也科技","3.300","-0.080","-2.37%","779110203.30","5940746","19669885.00","3.300","3.440","100","100","3.400","3.380","3.470","3.270","6.34","0.00%","5.92%","2.306","5.69%","-1.50%","0.00%","-2.94%","0.00%","-25.00%","-31.96%","-24.69%","-54.19%","-32.90%","信贷"
"AHCO","AdaptHealth","5.710","-0.050","-0.87%","778525359.16","4977191","28435406.00","5.670","5.940","1100","400","5.760","5.760","5.870","5.680","1.74","46.67%","3.30%","亏损","5.61%","-0.09%","-0.78%","-5.78%","-11.06%","+5.94%","-43.07%","-49.02%","-35.77%","-42.67%","医疗设备"
"HTB","HomeTrust Bancshares","47.080","-0.080","-0.17%","778406878.48","595946","28055075.00","45.900","75.970","100","100","47.000","47.160","47.450","46.490","2.22","0.00%","2.04%","12.655","4.29%","0.11%","+0.19%","-3.01%","+0.04%","+0.79%","-3.59%","+12.67%","+14.27%","+10.66%","地区银行"
"ASC","Ardmore Shipping","19.050","+0.050","+0.26%","778228123.50","676625","12869450.00","18.000","19.500","100","100","19.060","19.000","19.270","18.820","1.15","0.00%","2.37%","21.647","1.96%","0.42%","+0.53%","+2.04%","+5.72%","+9.63%","+17.72%","+34.53%","+62.90%","+93.93%","海运"
"DBVT","DBV Technologies","12.350","-0.160","-1.28%","776178937.95","137640","1702438.00","10.000","17.200","100","100","12.590","12.510","12.590","12.140","0.20","0.00%","3.60%","亏损","0.36%","-0.24%","-0.60%","+4.22%","-9.85%","-13.27%","-20.83%","-38.25%","+30.00%","-35.58%","生物技术"
"GRPN","GroupOn","19.080","+0.270","+1.44%","775893847.68","3244011","61358727.00","18.200","19.400","100","1000","18.630","18.810","19.090","18.300","3.18","-81.82%","4.20%","亏损","17.65%","-0.03%","+0.32%","+1.87%","+1.17%","-2.65%","+4.15%","+82.23%","-15.28%","+8.35%","互联网内容与信息"
"SHBI","Shore Bancshares","23.230","+0.070","+0.30%","775237971.48","536443","12433160.00","9.390","37.050","100","200","23.010","23.160","23.280","22.760","3.03","-33.33%","2.25%","13.050","1.77%","-0.02%","+0.17%","-0.90%","-0.30%","+1.01%","+3.06%","+30.01%","+38.64%","+33.96%","地区银行"
"CSIQ","阿特斯太阳能","11.400","-0.350","-2.98%","774022938.60","2313688","26300351.00","11.400","11.470","300","100","11.860","11.750","11.910","11.140","1.25","50.00%","6.55%","亏损","5.30%","-0.18%","+0.44%","-10.66%","-15.74%","-22.61%","-23.90%","-15.24%","-2.56%","-52.04%","太阳能"
"GROY","Gold Royalty","3.340","-0.050","-1.47%","773813588.10","1600002","5351326.00","3.300","3.410","300","1500","3.380","3.390","3.405","3.320","0.61","-66.67%","2.51%","亏损","0.93%","-0.15%","-0.30%","-2.05%","-2.62%","-1.47%","+24.63%","+0.60%","-8.99%","-17.33%","黄金"
"ROOT","Root Inc","49.840","-0.950","-1.87%","772183679.68","400239","19869086.00","49.010","50.960","100","100","50.140","50.790","50.595","48.170","2.56","0.00%","4.77%","21.118","3.25%","0.28%","-0.22%","-6.81%","-10.02%","-13.19%","-6.14%","+13.53%","-51.37%","-31.00%","财产和意外伤害保险"
"BUUU","BUUU Group","46.250","+0.250","+0.54%","772143750.00","36138","1626839.00","46.700","66.880","300","100","46.020","46.000","46.490","43.700","0.70","50.00%","6.07%","963.541","1.15%","0.00%","+0.54%","+17.09%","+46.04%","+49.19%","+100.83%","+203.08%","+492.95%","+620.40%","专业商务服务"
"CSHR","CoinShares","5.850","+0.690","+13.37%","770914222.65","2138719","12249427.00","5.600","5.890","100","2500","5.190","5.160","5.880","5.070","6.50","-92.31%","15.70%","亏损","3.58%","0.17%","+2.63%","+9.14%","-0.68%","+8.33%","+63.41%","-47.01%","-45.07%","-45.68%","资本市场"
"KELYB","凯利服务-B","22.190","-0.690","-3.02%","770701815.17","92472","2087390.00","8.980","23.000","200","100","22.400","22.880","22.880","22.190","3.76","33.33%","3.02%","亏损","0.31%","0.00%","0.00%","-1.33%","-4.62%","-5.45%","+22.88%","+76.15%","+63.76%","+158.16%","人力资源与就业服务"
"FDUS","Fidus Investment","19.360","-0.210","-1.07%","769958912.80","290805","5621261.00","19.270","19.570","100","200","19.570","19.570","19.600","19.220","0.72","-33.33%","1.94%","8.344","0.74%","0.10%","-0.05%","+1.53%","+1.48%","+0.30%","+9.59%","+21.48%","+4.45%","+9.65%","资产管理"
"AOSL","阿尔法和欧米伽半导体","25.400","+0.190","+0.75%","768585077.00","1761919","44716528.00","24.830","25.530","100","200","25.310","25.210","25.630","25.070","3.26","-33.33%","2.22%","亏损","7.08%","0.00%","0.00%","-1.47%","+3.89%","-3.13%","-39.49%","+15.19%","-11.25%","+28.22%","半导体"
"APOG","Apogee Enterprises","36.800","-0.900","-2.39%","767953219.20","662032","24404371.00","35.000","41.600","200","200","37.670","37.700","37.670","36.610","2.54","0.00%","2.81%","14.603","3.28%","-0.01%","-0.11%","-2.85%","-3.64%","-10.81%","-11.69%","+15.03%","-13.62%","+3.29%","建筑产品与设备"
"PMT","PennyMac Mortgage","8.800","-0.140","-1.57%","767380785.60","4395997","38755922.00","8.790","8.840","25000","100","8.900","8.940","8.999","8.800","2.15","99.20%","2.23%","8.888","6.14%","-0.06%","-0.28%","-4.03%","-8.62%","-6.28%","-12.52%","-15.48%","-16.57%","-24.58%","抵押贷款REITs"
"DSGN","Design Therapeutics","12.240","-0.570","-4.45%","765999408.24","2554959","31436102.00","11.180","16.100","100","200","12.810","12.810","12.880","12.240","2.64","-33.33%","5.00%","亏损","7.06%","0.24%","-1.92%","-16.34%","-18.56%","-21.34%","-11.18%","+16.24%","+102.31%","+30.49%","生物技术"
"WEST","Westrock Coffee","7.840","+0.060","+0.77%","765398714.08","1093549","8568267.00","7.520","8.850","200","1200","7.730","7.780","7.890","7.680","4.86","-71.43%","2.70%","亏损","3.03%","0.51%","0.00%","+1.82%","+2.08%","-5.43%","-19.01%","+100.51%","+54.33%","+92.63%","包装食品"
"WOOF","Petco Health and Wellness","2.360","-0.040","-1.67%","765135925.68","2703266","6391692.00","2.370","2.380","2100","9000","2.390","2.400","2.390","2.350","1.32","-62.16%","1.67%","78.666","2.96%","0.43%","-0.21%","-3.67%","-6.35%","-17.19%","-8.88%","-12.59%","-32.95%","-16.01%","专业零售"
"CTO","CTO Realty Growth","20.280","-0.120","-0.59%","760205007.12","1548340","31423548.00","20.100","20.440","100","100","20.310","20.400","20.441","20.160","4.20","0.00%","1.38%","253.500","4.55%","0.20%","+0.22%","-2.08%","-3.61%","-6.07%","-2.84%","+16.17%","+34.17%","+16.52%","多元化REITs"
"SLN","Silence Therapeutics","12.200","-0.500","-3.94%","758279849.20","1142412","14124833.00","12.030","12.350","100","2000","12.590","12.700","12.740","12.140","1.18","-90.48%","4.72%","亏损","2.28%","0.33%","+0.08%","-6.30%","-17.51%","-7.37%","+33.19%","+147.46%","+149.49%","+100.66%","生物技术"
"LYTS","LSI设备","20.350","+0.050","+0.25%","758268187.60","866661","17587552.00","19.650","21.000","100","100","20.360","20.300","20.499","19.900","2.02","0.00%","2.95%","30.373","2.43%","-0.02%","-0.44%","+1.60%","+1.19%","-1.06%","-21.50%","+10.33%","-12.12%","+11.85%","电子元件"
"GILT","吉来特卫星网络","9.820","-0.130","-1.31%","756431231.74","1243727","12184623.00","9.800","10.000","200","100","10.010","9.950","10.020","9.660","3.05","33.33%","3.62%","28.882","1.63%","0.10%","+0.31%","-0.71%","-4.66%","-6.65%","-18.71%","-36.19%","-15.56%","-24.11%","通讯设备"
"NNNN","Anbio Biotechnology","5.250","-0.350","-6.25%","755428800.00","290237","1566834.00","5.270","5.800","200","200","5.640","5.600","5.660","5.130","1.01","0.00%","9.46%","35.958","0.73%","-2.87%","+0.96%","-17.19%","-20.45%","-28.38%","-65.57%","-78.05%","-87.67%","-82.54%","医疗设备和用品"
"IPX","IperionX","20.850","-0.120","-0.57%","755049535.95","594799","12372297.00","20.850","21.300","100","400","20.970","20.970","21.240","20.330","1.02","-60.00%","4.34%","亏损","2.04%","-0.62%","-1.28%","+11.68%","-4.01%","+1.04%","-24.73%","-9.94%","-52.97%","-42.38%","其他工业金属与采矿"
"MITK","Mitek Systems","16.730","-0.570","-3.29%","754897317.02","1345277","22561890.00","16.750","17.600","100","400","17.340","17.300","17.450","16.550","2.21","-60.00%","5.20%","88.052","3.08%","0.00%","+0.66%","-2.85%","-11.25%","-9.67%","-3.74%","+27.71%","+64.18%","+58.58%","应用软件"
"LUCK","Lucky Strike Entertainment","5.530","+0.040","+0.73%","753893950.60","294146","1616670.00","5.240","8.000","200","100","5.470","5.490","5.580","5.310","4.37","33.33%","4.92%","亏损","2.53%","0.55%","+2.03%","-1.95%","-10.52%","-15.15%","-27.02%","-29.11%","-40.41%","-33.17%","休闲"
"GEMI","Gemini Space Station","5.810","+1.380","+31.15%","753279293.62","15431913","85028157.00","5.880","5.900","200","10000","4.570","4.430","5.860","4.567","7.53","-96.08%","29.18%","亏损","33.79%","0.35%","+0.27%","+30.27%","+20.04%","+40.34%","+39.00%","+41.36%","-75.93%","-41.43%","资本市场"
"PSNYW","POLESTAR AUTOMOTIVE HOLDING UK PLC SPON ADS C-1 EACH RP 30 CL C ORD (R/S)","4.580","+0.270","+6.26%","752402990.82","37222","164300.00","4.170","4.510","200","100","4.270","4.310","4.650","4.245","0.07","33.33%","9.40%","亏损","0.06%","0.00%","0.00%","+13.37%","-13.91%","+68.38%","+99.13%","-7.47%","-49.13%","-28.10%","汽车制造"
"SATA","STRIVE INC PERP PFD SER A VAR RATE","100.010","+0.092","+0.09%","751465839.07","823220","82326097.00","100.000","100.010","200","294900","99.990","99.918","100.010","99.950","1.27","-99.86%","0.06%","-","10.96%","-0.00%","+0.00%","+0.52%","+0.53%","+1.14%","+16.52%","+8.57%","+21.41%","+14.98%","资产管理"
"GLAS","Glass House Brands","7.970","-0.020","-0.25%","751112764.85","881501","7023285.00","8.000","8.030","200","500","8.060","7.990","8.070","7.830","0.93","-42.86%","3.00%","亏损","1.19%","1.65%","+1.14%","+0.50%","-7.33%","-16.28%","-27.61%","+1.14%","+15.17%","-9.94%","专业与通用药品制造商"
"GDOT","Green Dot","13.170","-0.010","-0.08%","750494807.43","865034","11399790.00","13.000","13.400","5000","500","13.170","13.180","13.225","13.150","2.86","81.82%","0.57%","亏损","1.82%","0.00%","-0.19%","-0.68%","-0.98%","-1.27%","-2.73%","+21.61%","-9.17%","+2.81%","信贷"
"HYLN","Hyliion","4.200","+0.120","+2.94%","750108315.60","2807912","11601000.00","4.150","4.200","2000","4000","4.100","4.080","4.230","3.940","1.74","-33.33%","7.11%","亏损","2.24%","-0.24%","+0.60%","+7.69%","+14.75%","+24.63%","-14.63%","+133.33%","+112.12%","+128.26%","汽车零件"
"WASH","华盛顿信托银行","39.310","-0.090","-0.23%","749811558.51","320037","12559557.00","35.610","44.880","100","100","39.140","39.400","39.430","38.625","2.82","0.00%","2.04%","14.505","1.72%","0.37%","+0.22%","-1.70%","-1.11%","-0.15%","+10.87%","+24.39%","+41.29%","+40.06%","地区银行"
"VLRS","Volaris航空","6.520","+0.060","+0.93%","749482932.40","366618","2374329.00","6.470","7.330","100","100","6.410","6.460","6.530","6.385","1.26","0.00%","2.24%","亏损","0.42%","-0.15%","+0.38%","0.00%","-1.81%","-4.68%","-29.36%","-6.19%","-3.41%","-26.58%","航空服务"
"WLKP","Westlake Chemical","21.220","-0.110","-0.52%","747917552.38","18507","393741.00","20.650","21.500","100","100","21.330","21.330","21.361","21.220","0.89","0.00%","0.66%","15.376","0.10%","-0.05%","0.00%","-1.39%","-3.24%","-1.44%","-4.27%","+1.92%","+9.77%","+19.05%","化学制品"
"BFS","Saul Centers","30.240","-0.070","-0.23%","747445134.24","272532","8233728.00","26.000","41.750","800","100","30.190","30.310","30.390","29.895","1.96","77.78%","1.63%","27.743","1.98%","-0.12%","+0.33%","-3.29%","-6.95%","-11.11%","-17.07%","-3.27%","+2.35%","+1.05%","零售REITs"
"WGO","温尼巴格实业","26.430","-0.530","-1.97%","747146841.99","1382161","36591636.00","26.090","27.700","100","1000","26.730","26.960","26.925","26.275","2.38","-81.82%","2.41%","29.043","5.39%","-0.19%","-0.17%","-6.44%","-10.97%","-16.32%","-1.89%","-13.03%","-16.70%","-31.94%","休闲车"
